School,Address,City,District,Zip,County,Longitude,Latitude,SchoolDigger Star Rating,Rank (2018-19),Full Address
Benjamin Banneker High School,800 Euclid St. NW,Washington,District of Columbia Public Schools,20001,District Of Columbia,38.92395,-77.024,5,1,"800 Euclid St. NW, Washington, District Of Columbia 20001"
School Without Walls High School,2130 G St. NW,Washington,District of Columbia Public Schools,20037,District Of Columbia,38.89823,-77.04732,5,2,"2130 G St. NW, Washington, District Of Columbia 20037"
Washington Latin PCS - Upper School,5200 2nd Street NW,Washington,Washington Latin PCS,20011,District Of Columbia,38.95391,-77.01366,5,3,"5200 2nd Street NW, Washington, District Of Columbia 20011"
McKinley Technology High School,151 T St. NE,Washington,District of Columbia Public Schools,20002,District Of Columbia,38.91547,-77.00509,5,4,"151 T St. NE, Washington, District Of Columbia 20002"
Thurgood Marshall Academy PCS,2427 Martin Luther King Jr Av,Washington,Thurgood Marshall Academy PCS,20020,District Of Columbia,38.86218,-76.99311,4,5,"2427 Martin Luther King Jr Av, Washington, District Of Columbia 20020"
Woodrow Wilson High School,3950 Chesapeake St. NW,Washington,District of Columbia Public Schools,20016,District Of Columbia,38.95064,-77.07809,4,6,"3950 Chesapeake St. NW, Washington, District Of Columbia 20016"
Basis Dc Pcs,410 8th Street NW,Washington,Basis Dc Pcs,20004,District Of Columbia,38.89491,-77.02308,4,7,"410 8th Street NW, Washington, District Of Columbia 20004"
KIPP DC - College Preparatory PCS,1405 Brentwood Parkway NE,Washington,KIPP Dc Pcs,20002,District Of Columbia,38.90986,-76.99471,4,8,"1405 Brentwood Parkway NE, Washington, District Of Columbia 20002"
Duke Ellington School of the Arts,3500 R St. NW,Washington,District of Columbia Public Schools,20007,District Of Columbia,38.91355,-77.07021,4,9,"3500 R St. NW, Washington, District Of Columbia 20007"
Friendship PCS - Technology Preparatory High School,2705 Martin Luther King Jr Av,Washington,Friendship PCS,20032,District Of Columbia,38.84706,-76.99647,4,10,"2705 Martin Luther King Jr Av, Washington, District Of Columbia 20032"
Columbia Heights Education Campus,3101 16th St. NW,Washington,District of Columbia Public Schools,20010,District Of Columbia,38.93014,-77.03635,4,11,"3101 16th St. NW, Washington, District Of Columbia 20010"
Paul PCS - International High School,5800 8th Street NW,Washington,Paul PCS,20011,District Of Columbia,38.96075,-77.02432,3,12,"5800 8th Street NW, Washington, District Of Columbia 20011"
Capital City PCS - High School,100 Peabody Street NW,Washington,Capital City PCS,20011,District Of Columbia,38.96261,-77.01098,3,13,"100 Peabody Street NW, Washington, District Of Columbia 20011"
Idea Pcs,1027 45th Street NE,Washington,Idea Pcs,20019,District Of Columbia,38.90384,-76.93743,3,14,"1027 45th Street NE, Washington, District Of Columbia 20019"
Richard Wright PCS for Journalism and Media Arts,475 School Street SW,Washington,Richard Wright PCS for Journalism and Media Arts,20024,District Of Columbia,38.88402,-77.01815,3,15,"475 School Street SW, Washington, District Of Columbia 20024"
Phelps Architecture Construction and Engineering High School,704 26th St. NE,Washington,District of Columbia Public Schools,20002,District Of Columbia,38.90122,-76.97035,3,16,"704 26th St. NE, Washington, District Of Columbia 20002"
E.L. Haynes PCS - High School,4501 Kansas Avenue NW,Washington,E.L. Haynes PCS,20011,District Of Columbia,38.94515,-77.02337,3,17,"4501 Kansas Avenue NW, Washington, District Of Columbia 20011"
Cesar Chavez Public Charter Schools for Public Policy,3701 Hayes Street NE,Washington,Cesar Chavez PCS for Public Policy,20019,District Of Columbia,38.90169,-76.94871,2,18,"3701 Hayes Street NE, Washington, District Of Columbia 20019"
National Collegiate Preparatory PCHS,4600 Livingston Rd SE,Washington,National Collegiate Preparatory PCHS,20032,District Of Columbia,38.8229,-77.00183,2,19,"4600 Livingston Rd SE, Washington, District Of Columbia 20032"
Eastern High School,1700 East Capitol St. NE,Washington,District of Columbia Public Schools,20003,District Of Columbia,38.88989,-76.97986,2,20,"1700 East Capitol St. NE, Washington, District Of Columbia 20003"
