index,BATHRM,HF_BATHRM,AC,ROOMS,BEDRM,SALEDATE,KITCHENS,FIREPLACES,LANDAREA,LONGITUDE,LATITUDE,QUADRANT,PRICE,ZIPCODE,WARD
0,3,1,Y,9,5,2016,2,4,1680,-77.04067788,38.91468351,NW,2100000,20009,2
1,3,1,Y,8,5,2006,2,3,1680,-77.04062899,38.91468254,NW,1602000,20009,2
2,3,2,Y,10,5,2010,1,4,2196,-77.03971453,38.91433108,NW,1950000,20009,2
3,3,1,Y,8,4,2011,2,1,1627,-77.04012874,38.9154077,NW,1050000,20009,2
4,3,1,Y,7,3,2018,2,1,1424,-77.03990344,38.91501736,NW,1430000,20009,2
5,3,1,Y,5,3,2011,2,1,1815,-77.03971585,38.91503805,NW,1325000,20009,2
6,3,1,Y,8,3,2010,1,0,1424,-77.03984429,38.9150181,NW,1240000,20009,2
7,3,1,Y,9,3,2001,2,1,1424,-77.04013809,38.91501863,NW,592250,20009,2
8,3,1,Y,14,5,2016,1,3,2090,-77.03377377,38.9113701,NW,33232,20009,2
9,1,0,Y,6,3,2006,1,0,2090,-77.03392492,38.91136808,NW,907400,20009,2
10,2,1,Y,5,3,2012,1,1,2090,-77.03397185,38.91136779,NW,1065000,20009,2
11,2,1,Y,8,3,2012,1,2,2090,-77.03407029,38.91131903,NW,1100000,20009,2
12,1,0,N,8,4,1996,1,0,2090,-77.03415574,38.91133747,NW,20000,20009,2
13,3,1,Y,11,3,2013,2,3,1853,-77.03405099,38.91169919,NW,1210000,20009,2
14,2,1,Y,6,2,1999,1,3,1853,-77.03384576,38.9117097,NW,130500,20009,2
15,2,2,Y,8,4,1997,2,0,1853,-77.03336691,38.9117011,NW,339500,20009,2
16,3,1,Y,9,4,2006,2,0,1853,-77.03315557,38.91170629,NW,1050000,20009,2
17,3,1,Y,9,4,2016,2,2,1853,-77.03308685,38.91171027,NW,1550000,20009,2
18,3,1,Y,9,4,2015,2,2,1853,-77.0329501,38.91169563,NW,1599900,20009,2
19,3,1,Y,13,4,2018,2,3,1853,-77.0328838,38.91170384,NW,1700000,20009,2
20,3,2,Y,10,4,2017,2,2,1853,-77.03281462,38.91170567,NW,1700000,20009,2
21,3,1,Y,10,5,2001,2,0,1853,-77.03274429,38.91171623,NW,450000,20009,2
22,3,1,Y,9,4,2011,2,2,1971,-77.03267223,38.91171643,NW,846000,20009,2
23,2,1,N,8,3,1999,2,0,1853,-77.03295117,38.91202434,NW,348500,20009,2
24,2,1,Y,8,3,2009,2,2,1853,-77.03322582,38.9120249,NW,849000,20009,2
25,3,1,Y,5,4,2006,2,2,1853,-77.03355869,38.9120194,NW,1312000,20009,2
26,1,1,Y,4,2,1997,2,0,1853,-77.0337049,38.9120416,NW,390000,20009,2
27,3,1,Y,8,3,2004,2,2,1853,-77.0337667,38.91202114,NW,772500,20009,2
28,1,0,N,4,1,2010,2,1,374,-77.03505272,38.91474119,NW,499000,20009,2
29,2,0,N,9,2,2000,2,2,456,-77.03498434,38.9147422,NW,216000,20009,2
30,3,1,Y,8,3,2002,2,2,1372,-77.0348454,38.91426921,NW,636090,20009,2
31,3,0,Y,10,6,2012,2,3,1400,-77.0348305,38.91279707,NW,1255000,20009,2
32,3,0,Y,10,4,2005,2,2,1400,-77.03495733,38.91279361,NW,990000,20009,2
33,2,0,Y,6,3,2007,2,1,791,-77.03822639,38.91601595,NW,682500,20009,2
34,4,2,Y,8,3,2014,1,1,814,-77.03822571,38.91604937,NW,993500,20009,2
35,2,1,Y,7,2,2009,1,1,838,-77.03822735,38.91608432,NW,745000,20009,2
36,2,1,Y,11,4,2005,2,2,1236,-77.03773306,38.91614835,NW,848500,20009,2
37,2,1,Y,11,3,1995,2,2,1185,-77.03776232,38.91611249,NW,277000,20009,2
38,2,1,Y,11,4,2013,2,2,1183,-77.03776518,38.91605339,NW,1155000,20009,2
39,2,1,Y,11,3,2017,2,2,1320,-77.03786325,38.9159549,NW,1363000,20009,2
40,3,1,Y,11,4,2010,2,2,1368,-77.03788941,38.91592138,NW,1148000,20009,2
41,3,1,Y,9,3,2005,2,0,1795,-77.03721308,38.9142865,NW,900000,20009,2
42,2,1,Y,6,2,2005,1,0,1700,-77.03751021,38.91426911,NW,872000,20009,2
43,4,1,Y,8,4,2015,2,2,1968,-77.037504,38.91538326,NW,1925000,20009,2
44,2,0,N,7,4,1995,1,0,1062,-77.04844945,38.89716129,NW,360000,20037,2
45,2,1,Y,7,3,2014,1,2,1000,-77.0463724,38.91349607,NW,1280000,20009,2
46,4,1,Y,11,5,1997,2,3,2678,-77.04599075,38.91279384,NW,750000,20009,2
47,4,1,Y,11,6,2017,2,2,1224,-77.04644353,38.91276223,NW,1844970,20009,2
48,3,1,Y,8,4,2011,2,3,1960,-77.04570984,38.91130425,NW,1680000,20009,2
49,2,1,Y,9,3,2018,2,2,1620,-77.04568854,38.91170305,NW,2150000,20009,2
50,2,1,Y,9,3,2014,1,4,1800,-77.04590112,38.91201295,NW,1905000,20009,2
51,1,1,Y,6,3,2005,1,0,1424,-77.04019759,38.91501663,NW,860000,20009,2
52,2,1,Y,6,3,2012,1,0,1424,-77.04025524,38.91502138,NW,890000,20009,2
53,3,1,Y,6,3,2018,2,0,1424,-77.04031347,38.91502073,NW,1345000,20009,2
54,1,0,Y,6,3,1994,1,0,1424,-77.04037343,38.91501675,NW,282777,20009,2
55,3,1,Y,9,3,2006,1,1,1424,-77.04043166,38.91502267,NW,715000,20009,2
56,3,1,Y,7,3,2013,2,0,1424,-77.04048943,38.91501319,NW,1315000,20009,2
57,3,1,Y,9,4,2015,2,1,1424,-77.04054754,38.91501191,NW,1440000,20009,2
58,1,1,N,6,3,2000,1,0,1412,-77.04060669,38.91500567,NW,229161,20009,2
59,3,1,N,7,5,2011,1,0,1627,-77.04060712,38.91536069,NW,1060000,20009,2
60,2,2,Y,8,5,2017,2,1,1627,-77.0405467,38.91535621,NW,1925000,20009,2
61,3,0,N,9,3,2010,2,0,1627,-77.04042678,38.91536535,NW,979000,20009,2
62,4,1,Y,9,4,2015,2,1,1627,-77.04030709,38.91536242,NW,1737000,20009,2
63,2,0,Y,6,3,2015,2,1,680,-77.04192908,38.91177293,NW,865000,20009,2
64,2,1,Y,5,2,2007,1,1,680,-77.04203954,38.91176982,NW,795000,20009,2
65,2,0,Y,6,3,2017,1,1,652,-77.04209868,38.91176881,NW,950000,20009,2
66,2,1,Y,5,2,2012,1,1,710,-77.04217168,38.91178239,NW,799000,20009,2
67,2,0,N,7,2,2014,1,3,1800,-77.04316998,38.91220289,NW,1050000,20009,2
68,2,1,Y,6,3,2008,1,3,1800,-77.04316597,38.91225631,NW,1100000,20009,2
69,2,1,Y,7,3,2017,2,1,1800,-77.04315528,38.91230694,NW,1330000,20009,2
70,2,1,Y,6,3,2001,1,1,510,-77.03881868,38.91827297,NW,200000,20009,1
71,2,0,Y,6,3,2013,1,1,421,-77.03886676,38.91826566,NW,650000,20009,1
72,1,1,Y,6,1,2005,1,0,331,-77.03892072,38.91824997,NW,660000,20009,1
73,2,0,Y,6,3,2016,1,0,560,-77.03870442,38.91828932,NW,830000,20009,1
74,1,1,Y,6,3,2017,1,0,827,-77.03921686,38.91744741,NW,635000,20009,1
75,1,1,Y,6,3,2010,1,1,827,-77.03911078,38.91745492,NW,673500,20009,1
76,3,1,Y,7,2,1993,2,3,1853,-77.03384199,38.91203562,NW,317000,20009,2
