BATHRM,HF_BATHRM,ROOMS,BEDRM,SALEDATE,KITCHENS,FIREPLACES,LANDAREA,ZIPCODE,WARD,PRIME,AC_N,AC_Y,QUADRANT_NE,QUADRANT_NW,QUADRANT_SE,QUADRANT_SW,PRICE,INDEX_BIN
3,1,8,3,2010.0,1.0,0,1424,20009.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,1325000.0,52
1,0,6,3,2006.0,1.0,0,2090,20009.0,2,7.875,0.0,1.0,0.0,1.0,0.0,0.0,33232.0,1
2,1,5,3,2012.0,1.0,1,2090,20009.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,907400.0,36
2,1,8,3,2012.0,1.0,2,2090,20009.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,1065000.0,42
2,1,7,2,2009.0,1.0,1,838,20009.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,216000.0,8
2,1,6,2,2005.0,1.0,0,1700,20009.0,2,6.375,0.0,1.0,0.0,1.0,0.0,0.0,990000.0,39
2,1,7,3,2014.0,1.0,2,1000,20009.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,682500.0,27
1,1,6,3,2005.0,1.0,0,1424,20009.0,2,6.375,0.0,1.0,0.0,1.0,0.0,0.0,993500.0,39
2,1,6,3,2012.0,1.0,0,1424,20009.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,745000.0,29
3,1,9,3,2006.0,1.0,1,1424,20009.0,2,7.875,0.0,1.0,0.0,1.0,0.0,0.0,277000.0,11
1,1,6,3,2000.0,1.0,0,1412,20009.0,2,9.083333333333334,1.0,0.0,0.0,1.0,0.0,0.0,1148000.0,45
3,1,7,5,2011.0,1.0,0,1627,20009.0,2,3.25,1.0,0.0,0.0,1.0,0.0,0.0,900000.0,35
2,1,5,2,2007.0,1.0,1,680,20009.0,2,7.5,0.0,1.0,0.0,1.0,0.0,0.0,360000.0,14
