DATE,PRIME
1982,16.5
1982,17
1982,16.5
1982,16
1982,15.5
1982,15
1982,14.5
1982,14
1982,13.5
1982,13
1982,12
1982,11.5
1983,11
1983,10.5
1983,11
1984,11.5
1984,12
1984,12.5
1984,13
1984,12.75
1984,12.5
1984,12
1984,11.75
1984,11.25
1984,10.75
1985,10.5
1985,10
1985,9.5
1986,9
1986,8.5
1986,8
1986,7.5
1987,7.75
1987,8
1987,8.25
1987,8.75
1987,9.25
1987,9
1987,8.75
1988,8.5
1988,9
1988,9.5
1988,10
1988,10.5
1989,11
1989,11.5
1989,11
1989,10.5
1990,10
1991,9.5
1991,9
1991,8.5
1991,8
1991,7.5
1991,6.5
1992,6
1994,6.25
1994,6.75
1994,7.25
1994,7.75
1994,8.5
1995,9
1995,8.75
1995,8.5
1996,8.25
1997,8.5
1998,8.25
1998,8
1998,7.75
1999,8
1999,8.25
1999,8.5
2000,8.75
2000,9
2000,9.5
2001,9
2001,8.5
2001,8
2001,7.5
2001,7
2001,6.75
2001,6.5
2001,6
2001,5.5
2001,5
2001,4.75
2002,4.25
2003,4
2004,4.25
2004,4.5
2004,4.75
2004,5
2004,5.25
2005,5.5
2005,5.75
2005,6
2005,6.25
2005,6.5
2005,6.75
2005,7
2005,7.25
2006,7.5
2006,7.75
2006,8
2006,8.25
2007,7.75
2007,7.5
2007,7.25
2008,6.5
2008,6
2008,5.25
2008,5
2008,4.5
2008,4
2008,3.25
2015,3.5
2016,3.75
2017,4
2017,4.25
2017,4.5
2018,4.75
2018,5
2018,5.25
2018,5.5
2019,5.25
2019,5
2019,4.75
