School,Rank,Enrollment,Avg Class Size,Studio-to-Teacher Ratio,10th Graders Scoring Proficient or Higher on MCAS Reading (%),Math (%),Science (%),Avg SAT Scores Reading/Writing,Avg SAT Scores Math,Advanced Placement Proficient (%),Graduation Rate (%),Attending College (%),Educator Evaluations Proficient (%),Exemplary (%),Combined (%)
Dover-Sherborn Regional High School,1,674,15.7,11.6:1,100,99,97,632,644,92.8,98.8,87.6,85.4,10.4,95.8
Acton-Boxborough Regional High School,2,"1,837",18.4,14.7:1,99,96,96,656,684,95.3,98,90.5,84,15.4,99.4
Wayland High School,3,846,15.8,11.9:1,100,94,97,629,645,89.5,99.1,89.7,95.9,2.1,98
The Bromfield School,4,627,15.8,11.4:1,100,92,99,624,613,94.3,100,91.5,96.9,0,96.9
Lexington High School,5,"2,263",19.6,12.8:1,99,98,96,645,674,93.9,98.2,87.3,97.8,0,97.8
Sharon High School,6,"1,121",14,11.4:1,98,93,93,619,636,92.7,97.3,87.4,76,18.2,94.2
Concord-Carlisle High School,7,"1,274",16,12.5:1,99,92,95,631,644,92.9,98.4,87,96.9,2.3,99.2
Weston High School,8,707,16.5,10.2:1,100,96,92,624,640,83.9,100,83.7,77.9,20,97.9
Wellesley High School,9,"1,529",17,12.8:1,99,97,94,630,642,91.8,98.2,86,94.8,5.2,100
Lincoln-Sudbury Regional High School,10,"1,528",18.2,12.1:1,98,94,91,615,644,96.6,98.9,90.2,59.2,39.6,98.8
Newton South High School,11,"1,911",14.9,12.4:1,100,96,92,626,641,93.3,96.8,80.2,90.3,8.6,98.9
Winchester High School,12,"1,359",17,14.5:1,99,96,96,617,638,90.5,94.9,90.5,85.6,14.4,100
Lynnfield High School,13,629,10.9,12.9:1,100,97,97,579,576,76.9,98.1,92.3,0,96.8,96.8
Westwood High School,14,"1,009",15.4,12.9:1,98,96,94,591,609,91.1,98,91.5,94.8,4.2,99
Hopkinton High School,15,"1,182",17.9,14.2:1,100,97,96,607,628,88.8,98.3,89.5,73.3,25.7,99
Westford Academy,16,"1,724",19.6,14.6:1,99,96,96,609,627,96.6,99,91.4,71.6,26.4,98
Littleton High School,17,450,13.7,12.2:1,96,96,92,598,591,87.4,97.2,92.6,56.1,43.9,100
Westborough High School,18,"1,152",15,12.8:1,97,93,92,612,633,87.6,96.7,86.6,75.7,23.3,99
Brookline High School,19,"2,101",14.2,10.7:1,98,93,89,622,637,93.3,94.8,76.6,96.9,0.9,97.8
Medfield High School,20,799,16.1,12.3:1,98,97,95,591,611,76.4,98.3,92.5,84.9,11.8,96.7
Needham High School,21,"1,718",16.6,13.7:1,98,94,93,618,624,92,97.7,86.3,96.7,0,96.7
Boston Latin School,22,"2,440",26,20.2:1,100,100,99,657,678,84,97.6,91.9,54.3,44.9,99.2
Manchester Essex Regional High School,23,471,11.8,10.7:1,97,96,93,598,596,77.8,96.9,84.2,37.5,58.9,96.4
Newton North High School,24,"2,124",16.2,11.6:1,96,92,91,620,632,92.1,96,81.7,87.7,8.8,96.5
Hingham High School,25,"1,253",15.7,14.7:1,98,92,92,608,604,93,100,87.3,83.5,14.6,98.1
Georgetown High School,26,398,12.5,11.3:1,99,91,88,581,590,90.8,98.2,84.3,84.6,1.9,86.5
Cohasset Middle/High School,27,833,18.3,11.7:1,99,95,94,593,591,83.1,98.9,91.4,97.6,0,97.6
Bedford High School,28,874,13.2,10.8:1,97,90,93,596,592,89.7,96.8,82.9,97.3,0,97.3
Marblehead High School,29,"1,054",13.2,12.2:1,99,92,95,591,584,79.9,97.2,84.8,N/A,N/A,N/A
